name	ensembl_id	chromosome	position	length	source	type
ABCA1	ENSG00000165029	9	-104928237	147235	ensembl_havana	protein_coding
ABCA10	ENSG00000154263	17	-69244846	97632	ensembl_havana	protein_coding
ABCA12	ENSG00000144452	2	-215138428	206886	ensembl_havana	protein_coding
ABCA13	ENSG00000179869	7	48171457	476038	ensembl_havana	protein_coding
ABCA2	ENSG00000107331	9	-137028922	21695	ensembl_havana	protein_coding
ABCA3	ENSG00000167972	16	-2340746	64865	ensembl_havana	protein_coding
ABCA4	ENSG00000198691	1	-94121132	128297	ensembl_havana	protein_coding
ABCA5	ENSG00000154265	17	-69327244	82933	ensembl_havana	protein_coding
ABCA6	ENSG00000154262	17	-69141888	63186	ensembl_havana	protein_coding
ABCA7	ENSG00000064687	19	1040100	25471	ensembl_havana	protein_coding
ABCA8	ENSG00000141338	17	-68955392	88100	ensembl_havana	protein_coding
ABCA9	ENSG00000154258	17	-69061064	86576	ensembl_havana	protein_coding
ABCB1	ENSG00000085563	7	-87713323	209690	ensembl_havana	protein_coding
ABCB10	ENSG00000135776	1	-229558695	42113	ensembl_havana	protein_coding
ABCB11	ENSG00000073734	2	-169031322	108384	ensembl_havana	protein_coding
ABCB4	ENSG00000005471	7	-87480435	78738	ensembl_havana	protein_coding
ABCB5	ENSG00000004846	7	20615206	161831	ensembl_havana	protein_coding
ABCB6	ENSG00000115657	2	-219218990	9222	ensembl_havana	protein_coding
ABCB7	ENSG00000131269	X	-75156732	103560	ensembl_havana	protein_coding
ABCB8	ENSG00000197150	7	151028421	19360	ensembl_havana	protein_coding
ABCB9	ENSG00000150967	12	-122981649	60698	ensembl_havana	protein_coding
ABCC1	ENSG00000103222	16	15949576	193497	ensembl_havana	protein_coding
ABCC10	ENSG00000124574	6	43427365	23064	ensembl_havana	protein_coding
ABCC11	ENSG00000121270	16	-48247568	80658	ensembl_havana	protein_coding
ABCC12	ENSG00000140798	16	-48156018	73045	ensembl_havana	protein_coding
ABCC2	ENSG00000023839	10	99782731	69460	ensembl_havana	protein_coding
ABCC3	ENSG00000108846	17	50634776	57475	ensembl_havana	protein_coding
ABCC4	ENSG00000125257	13	-95301446	281617	ensembl_havana	protein_coding
ABCC5	ENSG00000114770	3	-184018015	98081	ensembl_havana	protein_coding
ABCC6	ENSG00000091262	16	-16223522	74594	ensembl_havana	protein_coding
ABCC8	ENSG00000006071	11	-17476845	83960	ensembl_havana	protein_coding
ABCC9	ENSG00000069431	12	-21942529	145128	ensembl_havana	protein_coding
ABCD1	ENSG00000101986	X	153724867	19894	ensembl_havana	protein_coding
ABCD2	ENSG00000173208	12	-39619751	69718	ensembl_havana	protein_coding
ABCD3	ENSG00000117528	1	94418454	100211	ensembl_havana	protein_coding
ABCD4	ENSG00000119688	14	-74303056	17633	ensembl_havana	protein_coding
ABCE1	ENSG00000164163	4	145097931	31247	ensembl_havana	protein_coding
ABCF1	ENSG00000204574	6	30571375	25803	ensembl_havana	protein_coding
ABCF2	ENSG00000033050	7	-151227230	19393	ensembl_havana	protein_coding
ABCF3	ENSG00000161204	3	184186022	7989	ensembl_havana	protein_coding
ABCG1	ENSG00000160179	21	42199688	97555	ensembl_havana	protein_coding
ABCG2	ENSG00000118777	4	-88231322	141058	ensembl_havana	protein_coding
ABCG4	ENSG00000172350	11	119149011	13641	ensembl_havana	protein_coding
ABCG5	ENSG00000138075	2	-43838865	26393	ensembl_havana	protein_coding
ABCG8	ENSG00000143921	2	43838963	39502	ensembl_havana	protein_coding
ABHD1	ENSG00000143994	2	27123788	7023	ensembl_havana	protein_coding
ABHD10	ENSG00000144827	3	111979009	14353	ensembl_havana	protein_coding
ABHD11	ENSG00000106077	7	-73738867	2773	ensembl_havana	protein_coding
ABHD12	ENSG00000100997	20	-25390983	96240	ensembl_havana	protein_coding
ABHD12B	ENSG00000131969	14	50872159	32810	ensembl_havana	protein_coding
ABHD13	ENSG00000139826	13	108218378	15876	ensembl_havana	protein_coding
ABHD14A	ENSG00000248487	3	51971425	9773	ensembl_havana	protein_coding
ABHD14A-ACY1	ENSG00000114786	3	51974705	14477	havana	protein_coding
ABHD14B	ENSG00000114779	3	-51983409	14899	ensembl_havana	protein_coding
ABHD15	ENSG00000168792	17	-29567137	6590	ensembl_havana	protein_coding
ABHD16A	ENSG00000204427	6	-31703444	16495	ensembl_havana	protein_coding
ABHD16B	ENSG00000183260	20	63861497	1490	ensembl_havana	protein_coding
ABHD17A	ENSG00000129968	19	-1885547	8737	ensembl_havana	protein_coding
ABHD17B	ENSG00000107362	9	-71910931	48479	ensembl_havana	protein_coding
ABHD17C	ENSG00000136379	15	80679683	75937	ensembl_havana	protein_coding
ABHD18	ENSG00000164074	4	127965305	74405	ensembl_havana	protein_coding
ABHD2	ENSG00000140526	15	89087458	114901	ensembl_havana	protein_coding
ABHD3	ENSG00000158201	18	-21704805	53908	ensembl_havana	protein_coding
ABHD4	ENSG00000100439	14	22598236	14978	ensembl_havana	protein_coding
ABHD5	ENSG00000011198	3	43690112	44258	ensembl_havana	protein_coding
ABHD6	ENSG00000163686	3	58237505	58187	ensembl_havana	protein_coding
ABHD8	ENSG00000127220	19	-17310236	18105	ensembl_havana	protein_coding
ABI1	ENSG00000136754	10	-26861087	114494	ensembl_havana	protein_coding
ABI2	ENSG00000138443	2	203328218	119504	ensembl_havana	protein_coding
ABI3	ENSG00000108798	17	49210226	12998	ensembl_havana	protein_coding
ABI3BP	ENSG00000154175	3	-100993515	244359	ensembl_havana	protein_coding
ABL1	ENSG00000097007	9	130713945	173729	ensembl_havana	protein_coding
ABL2	ENSG00000143322	1	-179229684	130357	ensembl_havana	protein_coding
ABLIM1	ENSG00000099204	10	-114685003	253890	ensembl_havana	protein_coding
ABLIM2	ENSG00000163995	4	-8158832	193522	ensembl_havana	protein_coding
ABLIM3	ENSG00000173210	5	149141482	119059	ensembl_havana	protein_coding
ABO	ENSG00000175164	9	-133275214	24813	ensembl_havana	protein_coding
ABR	ENSG00000159842	17	-1229021	225503	ensembl_havana	protein_coding
ABRA	ENSG00000174429	8	-106770245	10762	ensembl_havana	protein_coding
ABRACL	ENSG00000146386	6	139028681	14620	ensembl_havana	protein_coding
ABRAXAS1	ENSG00000163322	4	-83523348	63831	ensembl_havana	protein_coding
ABRAXAS2	ENSG00000165660	10	124801784	34885	ensembl_havana	protein_coding
ABT1	ENSG00000146109	6	26596951	3792	ensembl_havana	protein_coding
ABTB1	ENSG00000114626	3	127672934	7985	ensembl_havana	protein_coding
ABTB2	ENSG00000166016	11	-34358008	207020	ensembl_havana	protein_coding
AC001226.2	ENSG00000283208	13	76992077	137511	havana	protein_coding
AC002094.3	ENSG00000273171	17	-28368012	3724	havana	protein_coding
AC002115.2	ENSG00000283758	19	35586259	1036	havana	protein_coding
AC002310.4	ENSG00000260869	16	-30558279	24052	havana	protein_coding
AC002310.5	ENSG00000261459	16	-30534852	8929	havana	protein_coding
AC002429.2	ENSG00000236197	7	-95214332	178601	havana	protein_coding
AC002985.1	ENSG00000268193	19	-18934397	27384	havana	protein_coding
AC002996.1	ENSG00000257767	12	111753889	37528	havana	protein_coding
AC003002.1	ENSG00000256060	19	57363510	1842	ensembl_havana	protein_coding
AC003002.2	ENSG00000268133	19	57363565	35018	havana	protein_coding
AC003002.3	ENSG00000268533	19	57394182	44274	havana	protein_coding
AC003002.4	ENSG00000269533	19	57389883	30110	havana	protein_coding
AC003005.1	ENSG00000268107	19	57487717	17663	havana	protein_coding
AC003006.1	ENSG00000269026	19	57682044	71530	havana	protein_coding
AC003688.1	ENSG00000262302	17	-7262089	15260	havana	protein_coding
AC004076.1	ENSG00000268163	19	-57477536	39566	havana	protein_coding
AC004080.3	ENSG00000257184	7	-27180013	16478	havana	protein_coding
AC004223.3	ENSG00000267618	17	-35121493	110144	havana	protein_coding
AC004233.2	ENSG00000270168	16	2988255	13760	havana	protein_coding
AC004556.1	ENSG00000276345	KI270721.1	2584	9217	ensembl	protein_coding
AC004691.2	ENSG00000250424	7	30852272	71539	havana	protein_coding
AC004706.4	ENSG00000282936	17	-6640316	3536	havana	protein_coding
AC004754.1	ENSG00000269881	16	249546	20396	havana	protein_coding
AC004805.1	ENSG00000266076	17	-65641033	102931	havana	protein_coding
AC004832.3	ENSG00000249590	22	30409254	19735	havana	protein_coding
AC004922.1	ENSG00000284292	7	99325878	68774	havana	protein_coding
AC004997.1	ENSG00000248751	22	-30299482	14244	havana	protein_coding
AC005020.2	ENSG00000272647	7	99558694	49115	havana	protein_coding
AC005041.1	ENSG00000159239	2	-74421662	27826	havana	protein_coding
AC005154.6	ENSG00000281039	7	-30550761	53684	havana	protein_coding
AC005258.1	ENSG00000273734	19	2269524	71647	havana	protein_coding
AC005324.3	ENSG00000251537	17	-15651653	80162	havana	protein_coding
AC005324.4	ENSG00000255104	17	15699691	45086	havana	protein_coding
AC005520.1	ENSG00000258653	14	73851970	80307	havana	protein_coding
AC005551.1	ENSG00000284638	19	-3483446	642	havana	protein_coding
AC005670.2	ENSG00000262633	17	46923132	126799	havana	protein_coding
AC005697.1	ENSG00000266202	17	-27893365	94559	havana	protein_coding
AC005702.2	ENSG00000267318	17	59940907	32193	havana	protein_coding
AC005726.2	ENSG00000258472	17	-28614197	158445	havana	protein_coding
AC005779.2	ENSG00000267545	19	45179821	22622	havana	protein_coding
AC005832.4	ENSG00000272921	12	4604943	57699	havana	protein_coding
AC005833.1	ENSG00000151079	12	4809175	4236	ensembl_havana	protein_coding
AC005833.3	ENSG00000255639	12	4657633	86947	havana	protein_coding
AC005837.2	ENSG00000267168	17	76732977	5544	havana	protein_coding
AC005841.2	ENSG00000283297	12	-2857083	8044	havana	protein_coding
AC005885.1	ENSG00000255595	12	126191262	169802	havana	protein_coding
AC005943.1	ENSG00000267059	19	-1605445	27106	havana	protein_coding
AC006030.1	ENSG00000264324	2	-74363377	151773	havana	protein_coding
AC006254.1	ENSG00000243696	3	-52835729	22447	havana	protein_coding
AC006269.1	ENSG00000261873	17	-55511444	63011	havana	protein_coding
AC006486.1	ENSG00000268643	19	-42255132	20549	havana	protein_coding
AC006538.2	ENSG00000267001	19	-2740048	22279	havana	protein_coding
AC006978.2	ENSG00000281593	7	30362399	50102	havana	protein_coding
AC007040.2	ENSG00000258881	2	-70995336	56018	havana	protein_coding
AC007192.1	ENSG00000268173	19	18153157	24959	havana	protein_coding
AC007240.1	ENSG00000284681	2	10122738	76549	havana	protein_coding
AC007325.1	ENSG00000276017	KI270734.1	72410	2403	ensembl	protein_coding
AC007325.2	ENSG00000277196	KI270734.1	-161852	23770	ensembl	protein_coding
AC007325.4	ENSG00000278817	KI270734.1	131493	5898	ensembl	protein_coding
AC007326.4	ENSG00000283809	22	18906237	41494	havana	protein_coding
AC007375.2	ENSG00000259164	14	77098310	127151	havana	protein_coding
AC007731.5	ENSG00000277971	22	-20446620	17379	havana	protein_coding
AC007906.2	ENSG00000277639	16	-53052873	17183	havana	protein_coding
AC007998.2	ENSG00000267140	18	-35497940	54069	havana	protein_coding
AC008073.3	ENSG00000276087	2	24124365	66070	havana	protein_coding
AC008162.2	ENSG00000278646	X	-120878924	1428	havana	protein_coding
AC008403.1	ENSG00000268465	19	48465836	6594	havana	protein_coding
AC008481.3	ENSG00000267477	19	-11505698	39458	havana	protein_coding
AC008537.1	ENSG00000268797	19	40801296	96985	havana	protein_coding
AC008560.1	ENSG00000253251	5	65624764	6126	havana	protein_coding
AC008575.1	ENSG00000258864	5	112827212	40369	havana	protein_coding
AC008575.2	ENSG00000272869	5	112861187	31891	ensembl_havana	protein_coding
AC008687.1	ENSG00000267335	19	-49036895	13942	havana	protein_coding
AC008687.4	ENSG00000268655	19	-49020523	3027	havana	protein_coding
AC008687.8	ENSG00000283663	19	-49065076	9283	havana	protein_coding
AC008695.1	ENSG00000273217	5	-131796983	371092	havana	protein_coding
AC008735.6	ENSG00000283567	19	-55464707	1705	havana	protein_coding
AC008750.8	ENSG00000269403	19	-51368099	17726	havana	protein_coding
AC008758.1	ENSG00000196826	19	-12551474	89915	havana	protein_coding
AC008758.4	ENSG00000268744	19	-12401274	22085	havana	protein_coding
AC008758.5	ENSG00000268870	19	-12441082	49133	havana	protein_coding
AC008758.6	ENSG00000269755	19	-12484816	51713	havana	protein_coding
AC008763.2	ENSG00000268400	19	7629795	13252	havana	protein_coding
AC008763.3	ENSG00000269711	19	7678500	4353	havana	protein_coding
AC008764.1	ENSG00000141979	19	-16628204	149137	havana	protein_coding
AC008764.4	ENSG00000268790	19	-16660115	82473	havana	protein_coding
AC008770.2	ENSG00000257355	19	-12052967	35079	havana	protein_coding
AC008770.3	ENSG00000267179	19	11925074	54215	havana	protein_coding
AC008878.1	ENSG00000267952	19	7507051	12570	havana	protein_coding
AC008878.2	ENSG00000268614	19	7533594	6464	havana	protein_coding
AC008878.3	ENSG00000268861	19	7382833	89643	havana	protein_coding
AC008982.1	ENSG00000268083	19	-38840178	22707	havana	protein_coding
AC009014.1	ENSG00000271824	5	-136193134	1666	havana	protein_coding
AC009086.2	ENSG00000277669	16	29663278	31865	havana	protein_coding
AC009119.2	ENSG00000260300	16	83908131	43313	havana	protein_coding
AC009122.1	ENSG00000283755	16	-75726442	12218	havana	protein_coding
AC009133.6	ENSG00000280893	16	29812260	7831	havana	protein_coding
AC009163.2	ENSG00000260092	16	-75545428	16896	havana	protein_coding
AC009163.4	ENSG00000261717	16	-75464706	52022	havana	protein_coding
AC009336.2	ENSG00000278500	2	176151084	22012	havana	protein_coding
AC009477.2	ENSG00000284479	2	131035091	170	havana	protein_coding
AC009690.1	ENSG00000260729	15	-72375981	91254	havana	protein_coding
AC009690.3	ENSG00000273025	15	-72319946	53200	havana	protein_coding
AC009779.3	ENSG00000258311	12	55716035	8667	havana	protein_coding
AC010132.3	ENSG00000256646	7	-42932174	22901	havana	protein_coding
AC010255.3	ENSG00000250803	5	122129621	54327	ensembl_havana	protein_coding
AC010319.2	ENSG00000269035	19	-17460804	24193	havana	protein_coding
AC010323.1	ENSG00000167774	19	-8321379	13096	havana	protein_coding
AC010325.1	ENSG00000261341	19	-50793142	17001	havana	protein_coding
AC010326.2	ENSG00000269476	19	-57916591	39826	havana	protein_coding
AC010327.1	ENSG00000267110	19	-55160671	5914	havana	protein_coding
AC010422.3	ENSG00000269242	19	-12648397	4566	havana	protein_coding
AC010422.5	ENSG00000269590	19	-12669397	4569	havana	protein_coding
AC010422.6	ENSG00000269693	19	-12580975	55255	havana	protein_coding
AC010463.1	ENSG00000269307	19	17267417	15548	havana	protein_coding
AC010487.3	ENSG00000283088	19	-52962768	82105	havana	protein_coding
AC010522.1	ENSG00000268750	19	57819718	39222	havana	protein_coding
AC010531.1	ENSG00000131152	16	-87334273	31397	havana	protein_coding
AC010542.3	ENSG00000260851	16	-66517312	47500	havana	protein_coding
AC010547.4	ENSG00000260734	16	-71433376	3114	havana	protein_coding
AC010547.5	ENSG00000261611	16	-71489311	41711	havana	protein_coding
AC010615.4	ENSG00000269237	19	21405158	86107	havana	protein_coding
AC010616.1	ENSG00000268041	19	-41928516	20811	havana	protein_coding
AC010619.1	ENSG00000269469	19	49462751	23479	havana	protein_coding
AC010646.1	ENSG00000269095	19	-17255448	19508	havana	protein_coding
AC011005.1	ENSG00000230626	7	129126517	4275	havana	protein_coding
AC011043.1	ENSG00000276256	GL000195.1	-49164	6225	ensembl	protein_coding
AC011043.2	ENSG00000278198	GL000195.1	173871	5500	ensembl	protein_coding
AC011195.2	ENSG00000266826	17	-58692018	31594	havana	protein_coding
AC011346.1	ENSG00000248109	5	148221649	21930	havana	protein_coding
AC011448.1	ENSG00000258674	19	19516226	19849	havana	protein_coding
AC011452.1	ENSG00000269179	19	-49958391	48890	havana	protein_coding
AC011455.3	ENSG00000269547	19	-38949855	34451	havana	protein_coding
AC011462.1	ENSG00000255730	19	41350852	74148	havana	protein_coding
AC011473.4	ENSG00000269741	19	-51009581	13563	havana	protein_coding
AC011479.1	ENSG00000267748	19	38289150	15759	havana	protein_coding
AC011498.4	ENSG00000267385	19	-4540067	11640	havana	protein_coding
AC011499.1	ENSG00000267157	19	-5785619	1614	havana	protein_coding
AC011511.1	ENSG00000167807	19	-10316009	10582	havana	protein_coding
AC011511.4	ENSG00000267303	19	-10320678	5207	havana	protein_coding
AC011530.1	ENSG00000268434	19	-45785973	6536	havana	protein_coding
AC011604.2	ENSG00000257046	12	20815673	274571	ensembl_havana	protein_coding
AC011841.1	ENSG00000273496	GL000205.2	-104855	5504	ensembl	protein_coding
AC012184.2	ENSG00000260537	16	70299193	73388	havana	protein_coding
AC012254.2	ENSG00000267228	18	-47176345	68157	havana	protein_coding
AC012309.1	ENSG00000267360	19	-37210512	117493	havana	protein_coding
AC012531.3	ENSG00000273049	12	53985844	49043	havana	protein_coding
AC012651.1	ENSG00000258461	15	42348102	64214	ensembl_havana	protein_coding
AC013269.1	ENSG00000184761	2	-130549883	10788	havana	protein_coding
AC013271.1	ENSG00000284337	2	109898431	70125	havana	protein_coding
AC013394.1	ENSG00000279765	15	92883412	65817	havana	protein_coding
AC013470.2	ENSG00000226690	7	12469620	72601	havana	protein_coding
AC015688.5	ENSG00000266728	17	27623363	17413	havana	protein_coding
AC015802.6	ENSG00000284526	17	-76570544	6834	havana	protein_coding
AC015813.2	ENSG00000266086	17	-58005253	16215	havana	protein_coding
AC017083.4	ENSG00000273398	2	-68261230	129992	havana	protein_coding
AC018512.1	ENSG00000262560	15	-43799133	26516	havana	protein_coding
AC018523.2	ENSG00000256206	11	-14520344	26561	havana	protein_coding
AC018554.3	ENSG00000278499	16	-60359480	1025	havana	protein_coding
AC018630.6	ENSG00000275778	12	-11171598	325749	havana	protein_coding
AC018709.1	ENSG00000272297	4	-186555328	128782	havana	protein_coding
AC018755.2	ENSG00000268500	19	-51646889	34798	ensembl_havana	protein_coding
AC018793.1	ENSG00000283873	11	-4288083	584	havana	protein_coding
AC018793.2	ENSG00000284018	11	4233287	584	havana	protein_coding
AC018793.3	ENSG00000284306	11	-4242640	584	havana	protein_coding
AC018793.4	ENSG00000284438	11	-4339244	584	havana	protein_coding
AC018793.5	ENSG00000284546	11	4329864	584	havana	protein_coding
AC019117.3	ENSG00000283321	7	17299294	167939	havana	protein_coding
AC020636.2	ENSG00000260234	3	-150941743	58746	havana	protein_coding
AC020909.1	ENSG00000142539	19	50415798	12610	havana	protein_coding
AC020914.1	ENSG00000213822	19	51478621	12330	ensembl_havana	protein_coding
AC020915.1	ENSG00000142396	19	58305318	10344	havana	protein_coding
AC020915.2	ENSG00000267216	19	58278965	36231	havana	protein_coding
AC020915.6	ENSG00000283515	19	58228913	86269	havana	protein_coding
AC020922.1	ENSG00000267706	19	-55359516	7215	havana	protein_coding
AC020934.3	ENSG00000284491	19	12802071	2231	havana	protein_coding
AC021072.1	ENSG00000283536	12	53241888	3245	havana	protein_coding
AC022167.5	ENSG00000283516	16	8881633	3717	havana	protein_coding
AC022335.1	ENSG00000257062	12	21047178	129716	havana	protein_coding
AC022384.1	ENSG00000272410	3	10249371	36424	havana	protein_coding
AC022400.6	ENSG00000272916	10	-73811651	15137	havana	protein_coding
AC022826.2	ENSG00000258677	8	-73878854	190163	havana	protein_coding
AC023055.1	ENSG00000257390	12	-55827546	70271	havana	protein_coding
AC023491.2	ENSG00000278633	KI270731.1	-13001	2403	ensembl	protein_coding
AC023509.3	ENSG00000267281	12	-53625979	119291	havana	protein_coding
AC024592.3	ENSG00000267740	19	-5903787	37616	havana	protein_coding
AC024940.1	ENSG00000177359	12	-31206154	94502	ensembl_havana	protein_coding
AC025165.3	ENSG00000257921	12	57773027	14018	havana	protein_coding
AC025263.2	ENSG00000258052	12	69801668	53694	havana	protein_coding
AC025283.2	ENSG00000262621	16	3365098	114451	ensembl_havana	protein_coding
AC025287.4	ENSG00000284484	16	-75677009	16782	havana	protein_coding
AC025594.2	ENSG00000272899	7	128866307	5736	ensembl_havana	protein_coding
AC026398.1	ENSG00000281938	5	-131994278	187135	havana	protein_coding
AC026461.4	ENSG00000275691	16	56676131	1631	havana	protein_coding
AC026464.1	ENSG00000259900	16	-69351730	16454	havana	protein_coding
AC026464.3	ENSG00000260371	16	-69356306	21215	havana	protein_coding
AC026464.4	ENSG00000260914	16	69299681	23018	havana	protein_coding
AC026786.1	ENSG00000256825	12	133130983	71385	havana	protein_coding
AC026954.2	ENSG00000261915	17	-7319174	6513	havana	protein_coding
AC027796.3	ENSG00000262304	17	-3636249	51100	havana	protein_coding
AC034102.2	ENSG00000257411	12	56101330	7958	havana	protein_coding
AC036214.3	ENSG00000276418	8	-80080775	161915	havana	protein_coding
AC037459.1	ENSG00000248235	8	22589273	12810	havana	protein_coding
AC040162.1	ENSG00000261884	16	-67936017	6403	havana	protein_coding
AC040162.4	ENSG00000263201	16	-68015911	2475	ensembl_havana	protein_coding
AC046185.1	ENSG00000125695	17	-63752097	49252	havana	protein_coding
AC048338.1	ENSG00000256861	12	-122266423	58644	havana	protein_coding
AC051649.2	ENSG00000283787	11	-1891895	3318	havana	protein_coding
AC053481.5	ENSG00000270033	17	-62282915	10428	havana	protein_coding
AC055811.2	ENSG00000264187	17	-17237185	34536	havana	protein_coding
AC058822.1	ENSG00000282278	4	53377838	917433	havana	protein_coding
AC064853.2	ENSG00000284622	2	227608783	143	havana	protein_coding
AC064853.3	ENSG00000284631	2	227616997	1657	havana	protein_coding
AC064853.4	ENSG00000284643	2	227598892	362	havana	protein_coding
AC064853.5	ENSG00000284667	2	227666803	257	havana	protein_coding
AC064853.6	ENSG00000284704	2	-227614840	302	havana	protein_coding
AC067968.1	ENSG00000267022	19	44025353	61964	havana	protein_coding
AC068234.1	ENSG00000259753	17	47253896	90395	havana	protein_coding
AC068533.4	ENSG00000249319	7	66087760	64516	havana	protein_coding
AC068547.1	ENSG00000283228	2	-151973949	171298	havana	protein_coding
AC068580.4	ENSG00000250644	11	-1763954	29133	havana	protein_coding
AC068631.2	ENSG00000283149	3	186581994	15108	havana	protein_coding
AC068775.1	ENSG00000180574	12	10505601	17533	havana	protein_coding
AC068775.2	ENSG00000255641	12	-10436001	23689	havana	protein_coding
AC068790.8	ENSG00000274874	12	123973943	114650	havana	protein_coding
AC068896.1	ENSG00000258539	10	-124791727	174647	havana	protein_coding
AC068946.1	ENSG00000280537	2	-219170827	95498	havana	protein_coding
AC068987.5	ENSG00000284730	12	-51814926	986	havana	protein_coding
AC069257.3	ENSG00000272741	3	-196318222	69992	havana	protein_coding
AC069368.1	ENSG00000249240	15	64841882	89037	havana	protein_coding
AC069503.2	ENSG00000256950	12	121888808	32661	havana	protein_coding
AC069544.2	ENSG00000284024	10	14838165	6561	havana	protein_coding
AC072022.1	ENSG00000223401	3	187743685	2342	havana	protein_coding
AC073082.1	ENSG00000279956	2	-48755724	123433	havana	protein_coding
AC073111.3	ENSG00000284041	7	150368789	28125	havana	protein_coding
AC073111.5	ENSG00000284691	7	150400701	11768	ensembl_havana	protein_coding
AC073264.3	ENSG00000283528	7	-143647646	8416	havana	protein_coding
AC073508.2	ENSG00000264058	17	-40665141	36344	havana	protein_coding
AC073610.2	ENSG00000255863	12	-48939663	17700	havana	protein_coding
AC073610.3	ENSG00000272822	12	-48957365	53862	havana	protein_coding
AC073612.1	ENSG00000258064	12	71674203	24764	havana	protein_coding
AC073896.1	ENSG00000144785	12	-56316059	30143	havana	protein_coding
AC074143.1	ENSG00000265690	16	67163384	2430	havana	protein_coding
AC078927.1	ENSG00000228144	12	-66169985	46068	havana	protein_coding
AC079325.2	ENSG00000284690	17	-74567343	6642	havana	polymorphic_pseudogene
AC079447.1	ENSG00000241962	2	99141484	181256	havana	protein_coding
AC079594.2	ENSG00000248710	3	-160449829	222375	havana	protein_coding
AC083800.1	ENSG00000251012	3	119147374	40432	havana	protein_coding
AC083902.2	ENSG00000248713	4	-99654648	18119	havana	protein_coding
AC084337.2	ENSG00000283977	11	6481484	27493	havana	protein_coding
AC087289.3	ENSG00000267426	17	-75930129	31484	havana	protein_coding
AC087498.1	ENSG00000180042	17	3385929	944	havana	protein_coding
AC087632.1	ENSG00000259316	15	-64381510	200330	ensembl_havana	protein_coding
AC090004.1	ENSG00000268279	3	14135216	13035	havana	protein_coding
AC090227.1	ENSG00000266997	18	-49837623	41830	havana	protein_coding
AC090360.1	ENSG00000267127	18	80034345	62742	havana	protein_coding
AC090527.2	ENSG00000260170	15	45587350	88963	havana	protein_coding
AC091167.3	ENSG00000261147	15	90249555	22652	havana	protein_coding
AC091167.7	ENSG00000275674	15	90266316	48182	havana	protein_coding
AC091167.8	ENSG00000284626	15	90234199	31262	havana	protein_coding
AC091551.1	ENSG00000267699	18	50968018	90125	havana	protein_coding
AC091959.3	ENSG00000275740	5	146203549	135701	havana	protein_coding
AC091980.2	ENSG00000275038	5	-171308755	2774	havana	protein_coding
AC092017.3	ENSG00000283952	1	-211188533	105661	havana	protein_coding
AC092042.3	ENSG00000273291	3	42809445	246425	havana	protein_coding
AC092073.1	ENSG00000266953	19	34396314	13049	havana	protein_coding
AC092111.3	ENSG00000284393	12	8138139	37180	havana	protein_coding
AC092143.1	ENSG00000198211	16	89919164	16927	havana	protein_coding
AC092329.3	ENSG00000283201	19	-23274221	51466	havana	protein_coding
AC092442.1	ENSG00000284684	4	-6070162	5185	havana	protein_coding
