Gene stable ID	Gene name	Chromosome name	Gene start	Gene end	Strand
ENSG00000189190	ZNF600	19	52764195	52786791	-1
ENSG00000237693	IRGM	5	150846523	150900736	1
ENSG00000099821	POLRMT	19	617224	633604	-1
ENSG00000118496	FBXO30	6	145793502	145814753	-1
ENSG00000185651	UBE2L3	22	21549447	21624034	1
ENSG00000183246	RIMBP3C	22	21545357	21551461	-1
ENSG00000088367	EPB41L1	20	36091504	36232799	1
ENSG00000090581	GNPTG	16	1351923	1364113	1
ENSG00000206480	FLOT1	CHR_HSCHR6_MHC_QBL_CTG1	30717229	30732250	-1
ENSG00000070669	ASNS	7	97852118	97872542	-1
ENSG00000184677	ZBTB40	1	22451851	22531157	1
ENSG00000278634	LILRA2	CHR_HSCHR19LRC_PGF1_CTG3_1	54503437	54518077	1
ENSG00000242019	KIR3DL3	19	54724479	54736536	1
ENSG00000099822	HCN2	19	589893	617159	1
ENSG00000281287	AP000350.12	CHR_HSCHR22_1_CTG7	23862188	23895223	1
ENSG00000111199	TRPV4	12	109783085	109833401	-1
ENSG00000196653	ZNF502	3	44712643	44723831	1
ENSG00000105550	FGF21	19	48755559	48758330	1
ENSG00000174951	FUT1	19	48748011	48755390	-1
ENSG00000070778	PTPN21	14	88465778	88554733	-1
ENSG00000081019	RSBN1	1	113761832	113812476	-1
ENSG00000137700	SLC37A4	11	119024114	119030906	-1
ENSG00000278220	CLN8	CHR_HSCHR8_7_CTG1	1755340	1786132	1
ENSG00000148346	LCN2	9	128149071	128153455	1
ENSG00000138326	RPS24	10	78033760	78056812	1
ENSG00000074603	DPP8	15	65442463	65517704	-1
ENSG00000273622	CDC42EP5	CHR_HSCHR19LRC_PGF1_CTG3_1	54395351	54403578	-1
ENSG00000164430	MB21D1	6	73413515	73452276	-1
ENSG00000212916	MAP10	1	232804892	232808407	1
ENSG00000073584	SMARCE1	17	40624962	40648508	-1
ENSG00000264058	AC073508.2	17	40628797	40665141	-1
ENSG00000221910	OR2F2	7	143935166	143936279	1
ENSG00000132275	RRP8	11	6595075	6603620	-1
ENSG00000128581	IFT22	7	101313367	101321823	-1
ENSG00000054983	GALC	14	87837820	87993665	-1
ENSG00000167106	FAM102A	9	127940579	127980513	-1
ENSG00000238114	LTB	CHR_HSCHR6_MHC_SSTO_CTG1	31571300	31573267	-1
ENSG00000148296	SURF6	9	133328774	133336398	-1
ENSG00000185963	BICD2	9	92711363	92764812	-1
ENSG00000133275	CSNK1G2	19	1941149	1981338	1
ENSG00000107807	TLX1	10	101130505	101137789	1
ENSG00000204414	CSHL1	17	63909597	63918838	-1
ENSG00000108352	RAPGEFL1	17	40177010	40195656	1
ENSG00000134202	GSTM3	1	109733932	109741038	-1
ENSG00000276327	KIR2DS1	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54905478	54919948	1
ENSG00000275937	GU182339.3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54770973	54780252	1
ENSG00000137168	PPIL1	6	36854827	36875024	-1
ENSG00000278306	KIR2DS3	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54782354	54796789	1
ENSG00000206287	RING1	CHR_HSCHR6_MHC_QBL_CTG1	33137310	33141537	1
ENSG00000143164	DCAF6	1	167935783	168075843	1
ENSG00000237405	AGER	CHR_HSCHR6_MHC_SSTO_CTG1	32188640	32191996	-1
ENSG00000139899	CBLN3	14	24426532	24430954	-1
ENSG00000276450	NCR1	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54905329	54909244	1
ENSG00000116793	PHTF1	1	113696831	113759489	-1
ENSG00000105501	SIGLEC5	19	51611927	51645545	-1
ENSG00000108602	ALDH3A1	17	19737984	19748943	-1
ENSG00000276293	PIP4K2B	17	38765689	38800126	-1
ENSG00000196735	HLA-DQA1	6	32628179	32647062	1
ENSG00000167716	WDR81	17	1716523	1738599	1
ENSG00000153885	KCTD15	19	33795933	33815763	1
ENSG00000229524	BAG6	CHR_HSCHR6_MHC_COX_CTG1	31626429	31640114	-1
ENSG00000277238	TAS2R10	CHR_HSCHR12_3_CTG2	10825317	10826358	-1
ENSG00000165775	FUNDC2	X	155025980	155060303	1
ENSG00000064225	ST3GAL6	3	98732236	98821201	1
ENSG00000099804	CDC34	19	531712	542092	1
ENSG00000064270	ATP2C2	16	84368527	84464187	1
ENSG00000067842	ATP2B3	X	153517676	153582939	1
ENSG00000270276	HIST2H4B	1	149854045	149861210	-1
ENSG00000117016	RIMS3	1	40620679	40665657	-1
ENSG00000146063	TRIM41	5	181222499	181235809	1
ENSG00000137502	RAB30	11	82973133	83071923	-1
ENSG00000104635	SLC39A14	8	22367249	22434129	1
ENSG00000144792	ZNF660	3	44578223	44599694	1
ENSG00000109610	SOD3	4	24789912	24800842	1
ENSG00000137819	PAQR5	15	69298947	69407780	1
ENSG00000079950	STX7	6	132445867	132513198	-1
ENSG00000143320	CRABP2	1	156699606	156705816	-1
ENSG00000140939	NOL3	16	67170154	67175735	1
ENSG00000139537	CCDC65	12	48904110	48931840	1
ENSG00000226347	OR2J2	CHR_HSCHR6_MHC_MANN_CTG1	29173273	29174544	1
ENSG00000134287	ARF3	12	48935723	48957551	-1
ENSG00000145975	FAM217A	6	4049434	4087344	-1
ENSG00000176219	OR11H6	14	20223710	20224702	1
ENSG00000224455	VPS52	CHR_HSCHR6_MHC_MCF_CTG1	33420661	33442416	-1
ENSG00000006125	AP2B1	17	35578046	35726409	1
ENSG00000226225	RPS18	CHR_HSCHR6_MHC_MCF_CTG1	33442379	33446883	1
ENSG00000111077	TNS2	12	53046969	53064372	1
ENSG00000169410	PTPN9	15	75463251	75579289	-1
ENSG00000181698	OR5T1	11	56274154	56276819	1
ENSG00000143977	SNRPG	2	70281362	70293771	-1
ENSG00000107643	MAPK8	10	48306639	48439360	1
ENSG00000182022	CHST15	10	124007666	124093607	-1
ENSG00000124490	CRISP2	6	49692358	49713590	-1
ENSG00000215547	DEFB115	20	31257664	31259632	1
ENSG00000267477	AC008481.3	19	11466240	11505698	-1
ENSG00000110921	MVK	12	109573255	109598117	1
ENSG00000139737	SLAIN1	13	77697854	77764242	1
ENSG00000280071	FP565260.6	21	5079294	5128425	-1
ENSG00000237515	SHISA9	16	12901620	13240413	1
ENSG00000155961	RAB39B	X	155258241	155264589	-1
ENSG00000118292	C1orf54	1	150268200	150280916	1
ENSG00000181718	OR5T2	11	56231282	56234255	-1
ENSG00000269096	CT45A3	X	135759846	135768191	-1
ENSG00000231319	OR2B3	CHR_HSCHR6_MHC_MANN_CTG1	29086272	29087278	-1
ENSG00000155962	CLIC2	X	155276211	155334657	-1
ENSG00000161914	ZNF653	19	11483427	11505923	-1
ENSG00000275979	CNOT3	CHR_HSCHR19LRC_LRC_S_CTG3_1	54138182	54156191	1
ENSG00000274078	TSEN34	CHR_HSCHR19LRC_LRC_I_CTG3_1	54190866	54195141	1
ENSG00000273511	OSCAR	CHR_HSCHR19LRC_COX1_CTG3_1	54094681	54102740	-1
ENSG00000276565	AP006285.3	CHR_HSCHR11_1_CTG6	1586202	1591699	1
ENSG00000278401	AP000351.3	CHR_HSCHR22_1_CTG7	24022930	24023387	-1
ENSG00000278198	AC011043.2	GL000195.1	173872	179372	1
ENSG00000281614	INPP5D	CHR_HG2232_PATCH	233059967	233207903	1
ENSG00000278712	TSEN34	CHR_HSCHR19LRC_PGF2_CTG3_1	54190866	54195141	1
ENSG00000277776	NLRP7	CHR_HSCHR19LRC_LRC_S_CTG3_1	54931214	54955210	-1
ENSG00000165525	NEMF	14	49782083	49853203	-1
ENSG00000165516	KLHDC2	14	49767608	49786385	1
ENSG00000176087	SLC35A4	5	140564456	140569103	1
ENSG00000113108	APBB3	5	140558268	140564781	-1
ENSG00000162736	NCSTN	1	160343272	160358952	1
ENSG00000182004	SNRPE	1	203861603	203870550	1
ENSG00000173933	RBM4	11	66638617	66666682	1
ENSG00000141522	ARHGDIA	17	81867721	81871406	-1
ENSG00000119139	TJP2	9	69121264	69255208	1
ENSG00000162735	PEX19	1	160276812	160286348	-1
ENSG00000273645	KBTBD11	CHR_HSCHR8_8_CTG1	1973878	2006936	1
ENSG00000139970	RTN1	14	59595976	59870966	-1
ENSG00000064195	DLX3	17	49990005	49995224	-1
ENSG00000156453	PCDH1	5	141853111	141879246	-1
ENSG00000108219	TSPAN14	10	80454166	80533123	1
ENSG00000100767	PAPLN	14	73237497	73274640	1
ENSG00000055208	TAB2	6	149218641	149411613	1
ENSG00000149150	SLC43A1	11	57484534	57515786	-1
ENSG00000071246	VASH1	14	76762189	76783015	1
ENSG00000040933	INPP4A	2	98444854	98594390	1
ENSG00000135740	SLC9A5	16	67237683	67272190	1
ENSG00000105605	CACNG7	19	53909335	53943941	1
ENSG00000112297	CRYBG1	6	106360808	106571978	1
ENSG00000166847	DCTN5	16	23641392	23677455	1
ENSG00000269590	AC010422.5	19	12664828	12669397	-1
ENSG00000162373	BEND5	1	48727523	48776969	-1
ENSG00000183605	SFXN4	10	119140767	119165667	-1
ENSG00000263715	LINC02210-CRHR1	17	45620344	45835826	1
ENSG00000102595	UGGT2	13	95801580	96053482	-1
ENSG00000185294	SPPL2C	17	45844835	45847072	1
ENSG00000186280	KDM4D	11	94973681	94999518	1
ENSG00000105369	CD79A	19	41877120	41881372	1
ENSG00000066739	ATG2B	14	96279202	96363870	-1
ENSG00000067829	IDH3G	X	153785766	153794523	-1
ENSG00000180879	SSR4	X	153793516	153798505	1
ENSG00000269502	DMRTC1	X	72872025	72943814	-1
ENSG00000112309	B3GAT2	6	70856679	70957038	-1
ENSG00000120318	ARAP3	5	141653401	141682221	-1
ENSG00000086848	ALG9	11	111782195	111871581	-1
ENSG00000147642	SYBU	8	109573978	109691791	-1
ENSG00000165629	ATP5C1	10	7788129	7807815	1
ENSG00000123977	DAW1	2	227871054	227924344	1
ENSG00000149577	SIDT2	11	117178733	117197445	1
ENSG00000197561	ELANE	19	851014	856247	1
ENSG00000166189	HPS6	10	102065390	102068038	1
ENSG00000225110	PNMA6F	X	153317681	153321822	-1
ENSG00000269693	AC010422.6	19	12525720	12580975	-1
ENSG00000185009	AP3M1	10	74120255	74151063	-1
ENSG00000172893	DHCR7	11	71428193	71452868	-1
ENSG00000106665	CLIP2	7	74289475	74405943	1
ENSG00000077585	GPR137B	1	236142505	236221865	1
ENSG00000159917	ZNF235	19	44228729	44305046	-1
ENSG00000198883	PNMA5	X	152988824	152994127	-1
ENSG00000149557	FEZ1	11	125445745	125496317	-1
ENSG00000176894	PXMP2	12	132687606	132704991	1
ENSG00000198700	IPO9	1	201829141	201884294	1
ENSG00000214215	C12orf74	12	92702843	92708549	1
ENSG00000049541	RFC2	7	74231499	74254458	-1
ENSG00000147383	NSDHL	X	152830967	152869729	1
ENSG00000278474	KIR3DL2	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54880532	54897308	1
ENSG00000130653	PNPLA7	9	137459953	137550534	-1
ENSG00000256797	KLRF2	12	9881489	9895833	1
ENSG00000254221	PCDHGB1	5	141350102	141512979	1
ENSG00000197406	DIO3	14	101561351	101563452	1
ENSG00000132388	UBE2G1	17	4269259	4366628	-1
ENSG00000204219	TCEA3	1	23381061	23424740	-1
ENSG00000167085	PHB	17	49404049	49414905	-1
ENSG00000136099	PCDH8	13	52842889	52848641	-1
ENSG00000277179	NLRP7	CHR_HSCHR19LRC_LRC_I_CTG3_1	54929128	54953124	-1
ENSG00000185222	TCEAL9	X	103356452	103358451	1
ENSG00000274873	TMC4	CHR_HSCHR19LRC_LRC_J_CTG3_1	54160649	54173691	-1
ENSG00000277400	AC145212.2	GL000194.1	53590	115018	-1
ENSG00000281626	ZNF852	CHR_HG2066_PATCH	44498970	44510636	-1
ENSG00000278704	BX004987.1	GL000009.2	56140	58376	-1
ENSG00000276363	VSTM1	CHR_HSCHR19LRC_LRC_J_CTG3_1	54040833	54063953	-1
ENSG00000278714	AL929561.7	CHR_HSCHR6_MHC_QBL_CTG1	29063984	29076511	1
ENSG00000276263	TFPT	CHR_HSCHR19LRC_LRC_I_CTG3_1	54107066	54115801	-1
ENSG00000278284	RDH13	CHR_HSCHR19LRC_PGF2_CTG3_1	54782118	54801011	-1
ENSG00000276260	TMC4	CHR_HSCHR19LRC_COX2_CTG3_1	54160649	54173691	-1
ENSG00000274894	PRPF31	CHR_HSCHR19LRC_LRC_J_CTG3_1	54115536	54131896	1
ENSG00000155959	VBP1	X	155197007	155239817	1
ENSG00000137752	CASP1	11	105025443	105035250	-1
ENSG00000133983	COX16	14	70325081	70359731	-1
ENSG00000144668	ITGA9	3	37452115	37823514	1
ENSG00000127241	MASP1	3	187217285	187292022	-1
ENSG00000165458	INPPL1	11	72223701	72239105	1
ENSG00000276885	KIR2DS4	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54832710	54847746	1
ENSG00000182050	MGAT4C	12	85955666	86838904	-1
ENSG00000120805	ARL1	12	101393120	101407820	-1
ENSG00000116703	PDC	1	186443566	186461122	-1
ENSG00000205403	CFI	4	109740694	109802179	-1
ENSG00000183379	SYNDIG1L	14	74405893	74426102	-1
ENSG00000174231	PRPF8	17	1650629	1684882	-1
ENSG00000257108	NHLRC4	16	566996	569495	1
ENSG00000198909	MAP3K3	17	63622415	63696303	1
ENSG00000162066	AMDHD2	16	2520357	2531422	1
ENSG00000168495	POLR3D	8	22245104	22254600	1
ENSG00000168994	PXDC1	6	3722614	3752026	-1
ENSG00000239305	RNF103	2	86603393	86623866	-1
ENSG00000156206	CFAP161	15	81007033	81149175	1
ENSG00000268083	AC008982.1	19	38817471	38840178	-1
ENSG00000153561	RMND5A	2	86720173	86778041	1
ENSG00000069020	MAST4	5	66596361	67169595	1
ENSG00000100523	DDHD1	14	53036745	53153282	-1
ENSG00000179562	GCC1	7	127580618	127593611	-1
ENSG00000188636	RTL6	22	44492572	44498298	-1
ENSG00000141295	SCRN2	17	47837692	47841333	-1
ENSG00000184588	PDE4B	1	65792514	66374579	1
ENSG00000101405	OXT	20	3071620	3072517	1
ENSG00000140406	TLNRD1	15	81000944	81005788	1
ENSG00000183814	LIN9	1	226231149	226309869	-1
ENSG00000006534	ALDH3B1	11	68008578	68029282	1
ENSG00000136891	TEX10	9	100302077	100352939	-1
ENSG00000107338	SHB	9	37919134	38069211	-1
ENSG00000117480	FAAH	1	46394265	46413848	1
ENSG00000196104	SPOCK3	4	166733384	167234796	-1
ENSG00000196597	ZNF782	9	96816472	96875623	-1
ENSG00000059758	CDK17	12	96278261	96400560	-1
ENSG00000115902	SLC1A4	2	64988477	65023865	1
ENSG00000116918	TSNAX	1	231528653	231566524	1
ENSG00000077514	POLD3	11	74493851	74669117	1
ENSG00000206292	HLA-DOA	CHR_HSCHR6_MHC_QBL_CTG1	32932859	32938293	-1
ENSG00000134258	VTCN1	1	117143587	117210960	-1
ENSG00000176769	TCERG1L	10	131092391	131311721	-1
ENSG00000112182	BACH2	6	89926529	90296908	-1
ENSG00000144837	PLA1A	3	119597842	119629811	1
ENSG00000065882	TBC1D1	4	37891087	38139175	1
ENSG00000120158	RCL1	9	4792869	4885917	1
ENSG00000146374	RSPO3	6	127118604	127197765	1
ENSG00000145147	SLIT2	4	20253260	20620561	1
ENSG00000148483	TMEM236	10	17752252	17800868	1
ENSG00000116690	PRG4	1	186296279	186314562	1
ENSG00000167759	KLK13	19	51056206	51065114	-1
ENSG00000115685	PPP1R7	2	241149576	241183652	1
ENSG00000088543	C3orf18	3	50558025	50571027	-1
ENSG00000243709	LEFTY1	1	225886282	225911382	-1
ENSG00000185246	PRPF39	14	45084099	45116282	1
ENSG00000130958	SLC35D2	9	96320706	96383710	-1
ENSG00000127022	CANX	5	179678628	179730925	1
ENSG00000140943	MBTPS1	16	84053761	84116906	-1
ENSG00000206379	FLOT1	CHR_HSCHR6_MHC_DBB_CTG1	30717966	30732991	-1
ENSG00000118200	CAMSAP2	1	200739558	200860704	1
ENSG00000103888	CEMIP	15	80779343	80951776	1
ENSG00000183765	CHEK2	22	28687743	28742422	-1
ENSG00000134744	ZCCHC11	1	52408282	52553487	-1
ENSG00000115042	FAHD2A	2	95402721	95416616	1
ENSG00000133030	MPRIP	17	17042545	17217679	1
ENSG00000119705	SLIRP	14	77708071	77761104	1
ENSG00000189233	NUGGC	8	28021964	28083871	-1
ENSG00000278563	MGAM2	CHR_HSCHR7_2_CTG6	142111749	142222324	1
ENSG00000131944	FAAP24	19	32972209	32978222	1
ENSG00000213079	SCAF8	6	154733325	154834244	1
ENSG00000166260	COX11	17	54951902	54968785	-1
ENSG00000172867	KRT2	12	52644558	52652164	-1
ENSG00000127445	PIN1	19	9835257	9849682	1
ENSG00000138744	NAAA	4	75913657	75941051	-1
ENSG00000109944	C11orf63	11	122882528	122959798	1
ENSG00000137692	DCUN1D5	11	103062076	103092215	-1
ENSG00000105355	PLIN3	19	4838341	4867768	-1
ENSG00000171574	ZNF584	19	58401504	58418327	1
ENSG00000254505	CHMP4A	14	24209583	24213869	-1
ENSG00000154639	CXADR	21	17512382	17593579	1
ENSG00000104970	KIR3DX1	19	54532692	54545771	1
ENSG00000134183	GNAT2	1	109603267	109619929	-1
ENSG00000168014	C2CD3	11	74012714	74171210	-1
ENSG00000178732	GP5	3	194394821	194398354	-1
ENSG00000177932	ZNF354C	5	179060415	179083537	1
ENSG00000184925	LCN12	9	136949551	136955497	1
ENSG00000273047	AL121845.2	20	63738270	63740398	1
ENSG00000197253	TPSB2	16	1227272	1230184	-1
ENSG00000160051	IQCC	1	32205661	32208687	1
ENSG00000172014	ANKRD20A4	9	64369394	64413142	1
ENSG00000223752	ATAT1	CHR_HSCHR6_MHC_COX_CTG1	30616685	30636664	1
ENSG00000106688	SLC1A1	9	4490444	4587469	1
ENSG00000102271	KLHL4	X	87517749	87670050	1
ENSG00000151322	NPAS3	14	32934933	33804176	1
ENSG00000132376	INPP5K	17	1494571	1516888	-1
ENSG00000115091	ACTR3	2	113889960	113962596	1
ENSG00000180155	LYNX1	8	142771197	142777810	-1
ENSG00000169180	XPO6	16	28097979	28211920	-1
ENSG00000116984	MTR	1	236795281	236903981	1
ENSG00000116786	PLEKHM2	1	15684332	15734769	1
ENSG00000143815	LBR	1	225401502	225428925	-1
ENSG00000112200	ZNF451	6	57086844	57170307	1
ENSG00000111144	LTA4H	12	96000828	96043520	-1
ENSG00000166889	PATL1	11	59636716	59668980	-1
ENSG00000134684	YARS	1	32775237	32818153	-1
ENSG00000071564	TCF3	19	1609290	1652605	-1
ENSG00000107537	PHYH	10	13277796	13302412	-1
ENSG00000136286	MYO1G	7	44962662	44979098	-1
ENSG00000166670	MMP10	11	102770503	102780628	-1
ENSG00000113100	CDH9	5	26880600	27121150	-1
ENSG00000183798	EMILIN3	20	41359966	41366827	-1
ENSG00000257529	RPL36A-HNRNPH2	X	101391011	101412297	1
ENSG00000160886	LY6K	8	142700111	142705127	1
ENSG00000119514	GALNT12	9	98807699	98850081	1
ENSG00000172320	OR5A1	11	59436469	59451380	1
ENSG00000100036	SLC35E4	22	30635652	30669016	1
ENSG00000124610	HIST1H1A	6	26017085	26017732	-1
ENSG00000077522	ACTN2	1	236686454	236764631	1
ENSG00000213760	ATP6V1G2	6	31544462	31548427	-1
ENSG00000266265	KLF14	7	130731235	130734061	-1
ENSG00000265190	ANXA8	10	47460162	47484158	-1
ENSG00000172057	ORMDL3	17	39921041	39927601	-1
ENSG00000132446	FTHL17	X	31071241	31072053	-1
ENSG00000226127	BTNL2	CHR_HSCHR6_MHC_APD_CTG1	32460601	32473766	-1
ENSG00000166313	APBB1	11	6395124	6419414	-1
ENSG00000165138	ANKS6	9	98731329	98796965	-1
ENSG00000146433	TMEM181	6	158536436	158635428	1
ENSG00000091138	SLC26A3	7	107765467	107803225	-1
ENSG00000164463	CREBRF	5	173056352	173139284	1
ENSG00000259753	AC068234.1	17	47253897	47344292	1
ENSG00000186081	KRT5	12	52514575	52520687	-1
ENSG00000188368	PRR19	19	42302098	42310821	1
ENSG00000165584	SSX3	X	48346428	48356707	-1
